,Experiment,Performance,Avg Progress,Avg Score,Avg Duration
0,1,0.03,1.0,-574.00785,739.87
0,2,-0.07,1.0,-624.385989,737.95
0,3,-0.05,1.0,-604.517462,737.8
0,4,-0.07,1.0,-624.385989,737.89
0,5,-0.06,1.0,-592.600296,737.89
0,6,-0.05,1.0,-604.517462,737.83
0,7,-0.07,1.0,-624.385989,737.88
0,8,-0.05,1.0,-604.517462,737.85
0,9,-0.06,1.0,-582.808293,737.85
0,10,-0.06,1.0,-592.600296,737.98
0,11,-0.01,1.0,-594.796594,738.28
0,12,-0.06,1.0,-582.808293,737.82
0,13,-0.05,1.0,-619.392606,737.95
0,14,-0.02,1.0,-654.522106,738.12
0,15,-0.05,1.0,-619.392606,737.94
0,16,-0.05,1.0,-619.392606,737.96
0,17,-0.06,1.0,-582.808293,737.92
0,18,-0.05,1.0,-604.517462,737.87
0,19,-0.06,1.0,-592.600296,737.93
0,20,-0.02,1.0,-615.864231,738.52
0,21,-0.06,1.0,-582.808293,737.91
0,22,-0.06,1.0,-625.933448,737.8
0,23,-0.07,1.0,-624.385989,737.83
0,24,-0.06,1.0,-625.933448,737.78
0,25,0.04,1.0,-619.006374,738.55
0,26,0.06,1.0,-601.1424,740.46
0,27,-0.06,1.0,-625.933448,737.81
0,28,0.04,1.0,-590.494855,738.39
0,29,-0.06,1.0,-625.933448,737.88
0,30,-0.03,1.0,-607.564281,737.99
0,31,-0.06,1.0,-592.600296,737.91
0,32,-0.05,1.0,-619.392606,737.94
